popularity_class,valence,acousticness,liveness,instrumentalness,energy,danceability
very low,0.5501613222399425,0.5693613123804329,0.21852379044622694,0.1669455379467978,0.4705811448452468,0.5356409542174264
low,0.5610235376070787,0.3590667001060213,0.21625947839355164,0.07069165148247353,0.5969527809999253,0.5799304633921833
high,0.5309924584697827,0.2928177439270616,0.18833784117296815,0.050688362731169986,0.6346248485888657,0.6163199851146175
very high,0.5164524556335122,0.2351290994222039,0.16977816756087494,0.018617642880726374,0.6447633801485761,0.6584184894758563
